Denounce;Got attacked;Females;Stress;run
54;223;1238;0.0324973799794397;35
73;241;1238;0.032394932307643835;35
0;0;1220;0.0;36
2;23;1220;0.0;36
9;56;1220;0.0344056507144433;36
18;79;1220;0.034342626847676305;36
27;95;1220;0.03423224939174694;36
34;121;1220;0.034175201833807685;36
44;147;1220;0.03399109043325157;36
40;164;1220;0.033927756789177935;36
46;197;1220;0.03386325261022595;36
51;215;1220;0.03367484713696179;36
48;234;1220;0.03360106707865869;36
0;0;1210;0.0;37
5;22;1210;0.0;37
10;44;1210;0.032904682297688705;37
14;62;1210;0.03283305828574896;37
21;88;1210;0.03277270817769269;37
30;102;1210;0.0326630552158742;37
42;128;1210;0.032515337141627285;37
51;141;1210;0.03252595363792828;37
48;161;1210;0.032357757210988734;37
54;179;1210;0.03230275856093527;37
63;195;1210;0.032182792561942994;37
0;0;1243;0.0;38
4;38;1243;0.0;38
8;57;1243;0.03366262901097606;38
27;80;1243;0.03358794010632521;38
24;114;1243;0.033531796744096364;38
31;134;1243;0.033408509654388796;38
44;156;1243;0.03324050620504618;38
52;184;1243;0.03311157793530713;38
51;207;1243;0.03299430346565571;38
62;227;1243;0.03287250421485144;38
62;245;1243;0.03275821049224189;38
0;0;1214;0.0;39
2;18;1214;0.0;39
13;40;1214;0.0331200107023907;39
12;61;1214;0.03304795948915946;39
19;87;1214;0.03294652896369164;39
27;109;1214;0.032880269683246095;39
32;125;1214;0.032791571436742786;39
43;150;1214;0.03274731786275949;39
35;175;1214;0.032676981974288706;39
34;190;1214;0.032502131546040224;39
53;208;1214;0.03249880451952215;39
0;0;1188;0.0;40
1;17;1188;0.0;40
7;52;1188;0.033083550207306835;40
16;73;1188;0.03302086330048004;40
19;94;1188;0.032916445249407546;40
28;117;1188;0.032843533330200625;40
36;139;1188;0.03280492681833387;40
32;165;1188;0.03267908102075125;40
46;184;1188;0.03259629358991172;40
55;203;1188;0.032520710600241406;40
48;223;1188;0.032426465391653614;40
0;0;1208;0.0;41
3;18;1208;0.0;41
4;35;1208;0.03466591904896281;41
13;69;1208;0.03465574886946721;41
17;84;1208;0.034568725212507465;41
23;105;1208;0.034471581344399926;41
26;119;1208;0.0344362884913834;41
27;141;1208;0.034395765960544576;41
42;161;1208;0.034334269251363514;41
38;175;1208;0.03421114923436079;41
46;198;1208;0.03406609005790078;41
0;0;1287;0.0;42
5;36;1287;0.0;42
19;66;1287;0.033331035147060234;42
16;88;1287;0.03324928744867212;42
23;102;1287;0.033130855278161675;42
31;130;1287;0.03302647744765434;42
28;153;1287;0.0329245153314277;42
37;173;1287;0.03283584189356562;42
44;191;1287;0.032776524511016605;42
52;219;1287;0.0326986482057111;42
49;245;1287;0.032625871317730565;42
0;0;1189;0.0;43
1;16;1189;0.0;43
7;42;1189;0.032793238230734115;43
18;73;1189;0.032739997778071656;43
24;90;1189;0.03270164475088866;43
32;116;1189;0.03259911694956267;43
34;139;1189;0.032513657016615696;43
42;160;1189;0.03232066040327089;43
46;183;1189;0.0322817530437845;43
56;204;1189;0.03216014262698478;43
54;236;1189;0.03210384165400301;43
0;0;1208;0.0;44
3;20;1208;0.0;44
7;37;1208;0.03305277752662245;44
12;58;1208;0.03292599848419241;44
20;73;1208;0.03289367393213548;44
25;105;1208;0.03281516484749112;44
34;127;1208;0.032727051840534614;44
36;153;1208;0.032562999750178345;44
43;170;1208;0.03252209224530603;44
44;193;1208;0.03239991400452002;44
56;225;1208;0.03238731289781275;44
0;0;1244;0.0;45
3;22;1244;0.0;45
5;40;1244;0.03255715146590108;45
18;67;1244;0.032471232740654735;45
16;90;1244;0.03238132670863563;45
33;114;1244;0.03231759440986686;45
35;140;1244;0.0322635830616061;45
40;161;1244;0.03210548815700681;45
50;182;1244;0.03198935748622215;45
48;204;1244;0.03185327075494816;45
61;222;1244;0.03175303891076757;45
0;0;1170;0.0;46
3;18;1170;0.0;46
10;50;1170;0.03263781097546786;46
21;78;1170;0.03256045739319886;46
27;107;1170;0.03253555107567762;46
33;129;1170;0.03237046592426067;46
28;148;1170;0.03229888154543138;46
46;171;1170;0.032193194187761426;46
43;196;1170;0.032107633276471335;46
48;222;1170;0.031990999477538674;46
64;242;1170;0.031936349203033745;46
0;0;1221;0.0;47
2;24;1221;0.0;47
10;47;1221;0.03283856843033644;47
16;72;1221;0.032778349739501215;47
22;94;1221;0.03266491629268543;47
34;119;1221;0.03256468254793518;47
32;143;1221;0.03249164559784334;47
37;169;1221;0.03243629128620683;47
51;194;1221;0.03235402191655024;47
58;213;1221;0.03223416376297932;47
59;230;1221;0.03211631590345556;47
0;0;1226;0.0;48
2;18;1226;0.0;48
6;41;1226;0.03360509217982519;48
19;72;1226;0.033565405425715636;48
23;95;1226;0.033429648379753284;48
27;123;1226;0.03336341522027324;48
34;156;1226;0.03328337269180499;48
46;176;1226;0.03321663910680072;48
55;197;1226;0.033117743281902694;48
60;219;1226;0.03305457077365488;48
70;240;1226;0.03290456994665919;48
0;0;1235;0.0;49
1;20;1235;0.0;49
7;35;1235;0.034252143838494634;49
13;69;1235;0.03416585713804007;49
23;95;1235;0.03413385753341246;49
36;110;1235;0.034038742094746985;49
38;145;1235;0.03394996491433244;49
42;167;1235;0.03382820701959925;49
44;193;1235;0.0337188605590353;49
45;217;1235;0.03366177088661083;49
46;238;1235;0.03356106736732339;49
0;0;1261;0.0;50
2;27;1261;0.0;50
15;52;1261;0.03404406348443449;50
23;73;1261;0.03398765064241409;50
19;92;1261;0.03385446373237683;50
35;113;1261;0.03380936472493402;50
37;132;1261;0.03369056894122792;50
40;152;1261;0.033617528168829146;50
45;177;1261;0.033510363759585195;50
46;206;1261;0.03341940732934688;50
