under_influence;Run;Denounce;Females;Got attacked;Stress
0.01;174;76;1202;195;0.02929334201685165
0.01;175;85;1213;216;0.030219541208345167
0.01;176;78;1230;220;0.028945622535038462
0.01;177;80;1211;211;0.029715037371357843
0.01;178;75;1202;201;0.029544914665997977
0.01;179;67;1230;196;0.029399413231223442
0.01;180;71;1245;190;0.030113319823659175
0.01;181;82;1207;202;0.030004620964810626
0.01;182;85;1220;203;0.029749392665129677
0.01;183;72;1225;204;0.028569553064875897
0.01;184;80;1186;217;0.029399365425247268
0.01;185;77;1211;199;0.02955054632868968
0.01;186;72;1256;225;0.029623944478496294
0.01;187;79;1182;211;0.02994244836036317
0.01;188;66;1188;193;0.028755874241924308
0.01;189;87;1245;244;0.02975616269768555
0.01;190;72;1237;203;0.029370908687579998
0.01;191;64;1225;194;0.02901702642221257
0.01;192;75;1227;200;0.030872925054904438
0.01;193;70;1203;188;0.028524784816237894
0.01;194;58;1253;187;0.029141715104682785
0.01;195;70;1283;205;0.029827595062583697
0.01;196;70;1229;215;0.03059198658904593
0.01;197;77;1244;211;0.029265894184357214
0.01;198;70;1271;207;0.030510109419896157
0.01;199;69;1208;193;0.029478106738019736
0.07999999999999999;200;82;1275;220;0.02942371185987634
0.07999999999999999;201;78;1236;200;0.028839228441891167
0.07999999999999999;202;76;1227;210;0.029956254350554528
0.07999999999999999;203;67;1266;172;0.029782386328470783
0.07999999999999999;204;78;1170;213;0.0304070246848682
0.07999999999999999;205;76;1242;214;0.029355346153673453
0.07999999999999999;206;65;1249;207;0.030156135930064595
0.07999999999999999;207;80;1242;209;0.028820323710353087
0.07999999999999999;208;55;1209;206;0.029729794581188924
0.07999999999999999;209;75;1189;195;0.0292911887600073
0.07999999999999999;210;76;1262;187;0.030147007365426245
0.07999999999999999;211;64;1239;203;0.029356301070362543
0.07999999999999999;212;72;1190;191;0.029734589533858168
0.07999999999999999;213;81;1257;212;0.030004183536148196
0.07999999999999999;214;79;1202;212;0.03001074430849304
